District Name,District Code,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting,% Emergency Removal,% Students with a School-Based Arrest,% Students with a Non-Arrest Law Enforcement Referral
Medway,01770000,"   2,177",68.00,   1.7,   1.9,   0.0,   0.0,   0.2,   0.0,   0.0
Melrose,01780000,"   3,947",42.00,   0.4,   0.9,   0.0,   0.0,   0.0,   0.0,   0.0
Mendon-Upton,07100000,"   2,197",79.00,   2.3,   1.7,   0.0,   0.0,   0.0,   0.0,   0.0
Methuen,01810000,"   6,817",546.00,   3.0,   6.9,   0.0,   0.0,   0.0,   0.0,   0.0
Middleborough,01820000,"   3,121",146.00,   4.2,   0.1,   0.0,   0.0,   1.1,   0.0,   0.0
Middleton,01840000,     721,0.00,,,,,,,
Milford,01850000,"   4,807",249.00,   1.4,   4.3,   0.0,   0.0,   0.1,   0.0,   0.0
Millbury,01860000,"   1,687",99.00,   3.6,   3.9,   0.0,   0.0,   0.1,   0.0,   0.0
Millis,01870000,"   1,209",11.00,   0.0,   0.9,   0.0,   0.0,   0.0,   0.0,   0.0
Milton,01890000,"   4,452",53.00,   0.3,   1.1,   0.0,   0.0,   0.0,   0.0,   0.0
Minuteman Regional Vocational Technical,08300000,     662,54.00,   3.8,   7.3,   0.0,   0.0,   0.0,   0.0,   0.0
Mohawk Trail,07170000,     804,38.00,   3.5,   2.4,   0.0,   0.1,   1.1,   0.0,   0.0
Monomoy Regional School District,07120000,"   1,834",81.00,   2.7,   2.5,   0.0,   0.0,   0.0,   0.0,   0.0
Monson,01910000,     874,11.00,   0.0,   1.3,   0.0,   0.0,   0.0,   0.1,   0.0
Montachusett Regional Vocational Technical,08320000,"   1,429",183.00,   9.8,   4.9,   0.0,   0.0,   0.0,   0.0,   0.0
Mount Greylock,07150000,"   1,196",42.00,   3.0,   1.2,   0.0,   0.0,   0.0,   0.0,   0.0
Mystic Valley Regional Charter (District),04700000,"   1,629",116.00,   6.8,   1.3,   0.0,   0.0,   0.3,   0.0,   0.0
Nahant,01960000,     177,0.00,,,,,,,
Nantucket,01970000,"   1,765",102.00,   3.0,   3.5,   0.0,   0.0,   0.0,   0.0,   0.0
Narragansett,07200000,"   1,458",57.00,   1.4,   3.0,   0.0,   0.0,   0.9,   0.0,   0.0
Nashoba,07250000,"   3,163",48.00,   0.7,   1.1,   0.0,   0.0,   0.0,   0.0,   0.0
Nashoba Valley Regional Vocational Technical,08520000,     754,47.00,   1.5,   4.9,   0.0,   0.0,   1.2,   0.0,   0.8
Natick,01980000,"   5,439",83.00,   0.9,   0.9,   0.0,   0.0,   0.0,   0.0,   0.0
Nauset,06600000,"   1,401",47.00,   0.8,   2.8,   0.0,   0.1,   0.3,   0.0,   0.0
Needham,01990000,"   5,609",59.00,   0.8,   0.4,   0.0,   0.0,   0.1,   0.0,   0.0
Neighborhood House Charter (District),04440000,     828,120.00,   8.9,   5.7,   0.0,   0.0,   8.6,   0.0,   0.0
New Bedford,02010000,"  13,481",1193.00,   1.5,   7.2,   0.0,   0.0,   2.6,   0.0,   0.0
New Heights Charter School of Brockton (District),35130000,     761,65.00,   5.5,   4.5,   0.0,   0.0,   0.0,   0.0,   0.0
New Salem-Wendell,07280000,     134,0.00,,,,,,,
Newburyport,02040000,"   2,233",21.00,   0.4,   0.8,   0.0,   0.0,   0.0,   0.0,   0.0
Newton,02070000,"  12,352",188.00,   1.1,   0.8,   0.0,   0.0,   0.0,   0.0,   0.0
